,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
990,127512.0,2017-01-25T12:31:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-3,-79.98418223331291,40.4503312245185,EXACT
991,128052.0,2017-01-27T12:21:00,Potholes,Twitter,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003020300.0,6.0,6.0,2.0,2-25,-79.9749434,40.4562971,EXACT
992,128489.0,2017-01-31T08:55:00,Potholes,Website,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97794209999999,40.4552909,EXACT
993,128440.0,2017-01-30T18:16:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97773690000001,40.4543653,EXACT
994,112276.0,2016-10-22T10:36:00,Street Cleaning/Sweeping,Report2Gov iOS,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.96473,40.45818,EXACT
995,38032.0,2015-12-18T11:38:00,City Facility,Call Center,1,DPW - Facilities,Bon Air,4.0,18.0,42003562400.0,5.0,18.0,3.0,4-7,-79.99936329999998,40.4077575,EXACT
996,78062.0,2016-06-10T12:46:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.900852182209,40.4691362569664,EXACT
997,126883.0,2017-01-23T13:38:00,Thank You - 311,Call Center,1,311,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-4,-79.9959805024443,40.4395962696408,APPROXIMATE
998,58585.0,2016-03-31T12:10:00,Tree Removal,Control Panel,1,DPW - Forestry Division,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-20,-79.9988598,40.4532577,EXACT
999,126432.0,2017-01-19T16:50:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,South Oakland,6.0,4.0,42003980800.0,3.0,4.0,4.0,2-2,-79.972661,40.435834,EXACT
1000,127870.0,2017-01-26T13:54:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Homewood North,9.0,13.0,42003130400.0,2.0,13.0,5.0,3-17,-79.89002009999999,40.4559654,EXACT
1001,125604.0,2017-01-16T10:16:00,Potholes,Website,1,DPW - Street Maintenance,Strip District,7.0,6.0,42003020300.0,6.0,6.0,2.0,2-6,-79.9741954,40.4534321,EXACT
1002,127987.0,2017-01-27T07:39:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-15,-79.97897409999999,40.3934504,EXACT
1003,127755.0,2017-01-26T11:10:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.9810468,40.454946,EXACT
1004,127004.0,2017-01-23T20:24:00,Potholes,Website,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-3,-79.9892676897797,40.4467745401424,EXACT
1005,126887.0,2017-01-23T13:53:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.980804,40.452276399999995,EXACT
1006,127946.0,2017-01-26T16:29:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-3,-79.9831308,40.4516926,EXACT
1007,127570.0,2017-01-25T14:27:00,Potholes,Twitter,1,DPW - Street Maintenance,Central Business District,6.0,1.0,42003020100.0,6.0,1.0,2.0,1-4,-80.005085,40.4400751,EXACT
1008,127582.0,2017-01-25T15:13:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-3,-79.9875109,40.4488106,EXACT
1009,127968.0,2017-01-26T18:50:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.979998,40.4528305,EXACT
1010,125016.0,2017-01-11T13:44:00,Litter,Call Center,1,DPW - Street Maintenance,Bedford Dwellings,7.0,6.0,42003050900.0,3.0,6.0,2.0,2-24,-79.9660377,40.4556477,EXACT
1011,124588.0,2017-01-09T14:30:00,Snow/Ice removal,Twitter,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003050900.0,3.0,6.0,2.0,2-24,-79.96601159999999,40.455245,EXACT
1012,124887.0,2017-01-11T07:29:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Bedford Dwellings,7.0,6.0,42003050900.0,3.0,6.0,2.0,2-24,-79.9660377,40.4556477,EXACT
1013,125023.0,2017-01-11T13:59:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.9792457,40.4556001,EXACT
1014,12779.0,2015-07-10T12:00:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.997096,40.444284,EXACT
1015,22841.0,2015-09-09T15:26:00,Tree Removal,Call Center,1,DPW - Forestry Division,Stanton Heights,7.0,10.0,42003101800.0,2.0,10.0,5.0,3-7,-79.936222,40.485188,EXACT
1016,127554.0,2017-01-25T13:47:00,Utility Pole,Call Center,1,DOMI - Permits,South Side Flats,3.0,16.0,42003160900.0,3.0,16.0,3.0,4-24,-79.9555561,40.4110191,EXACT
1017,124610.0,2017-01-09T16:05:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Homewood South,9.0,13.0,42003130300.0,2.0,13.0,5.0,3-17,-79.89415675767209,40.456850418921206,EXACT
1018,124101.0,2017-01-06T07:20:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Central Business District,6.0,1.0,42003020100.0,6.0,1.0,2.0,1-4,-80.0024843,40.4403711,EXACT
1019,126352.0,2017-01-19T13:34:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Homewood North,9.0,13.0,42003130100.0,2.0,13.0,5.0,3-17,-79.8830673,40.459314,EXACT
1020,18363.0,2015-08-12T09:16:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Beechview,4.0,19.0,42003192000.0,5.0,19.0,6.0,4-28,-80.029262,40.398162,EXACT
